"DBInstanceIdentifier"|"DBEngine"|"TimeStamp"|"Metric"|"AvgValue"|"MaxValue"|"SumValue"
"rds-ex"|"sqlserver-ex"|"08/30/2025 19:41:00"|"ReadThroughput"|"0"|"0"|"578041"
"rds-ex"|"sqlserver-ex"|"08/30/2025 19:06:00"|"ReadThroughput"|"0"|"0"|"601736"
"rds-ex"|"sqlserver-ex"|"08/30/2025 20:51:00"|"ReadThroughput"|"0"|"0"|"494107"
"rds-ex"|"sqlserver-ex"|"08/30/2025 20:16:00"|"ReadThroughput"|"0"|"0"|"529666"
"rds-ex"|"sqlserver-ex"|"08/30/2025 21:26:00"|"ReadThroughput"|"0"|"0"|"589075"
"rds-ex"|"sqlserver-ex"|"08/30/2025 22:36:00"|"ReadThroughput"|"0"|"0"|"554982"
"rds-ex"|"sqlserver-ex"|"08/30/2025 22:01:00"|"ReadThroughput"|"0"|"0"|"492889"
"rds-ex"|"sqlserver-ex"|"08/30/2025 23:11:00"|"ReadThroughput"|"0"|"0"|"598992"
"rds-ex"|"sqlserver-ex"|"08/30/2025 23:46:00"|"ReadThroughput"|"0"|"0"|"509169"
"rds-ex"|"sqlserver-ex"|"08/31/2025 00:56:00"|"ReadThroughput"|"0"|"0"|"523045"
"rds-ex"|"sqlserver-ex"|"08/31/2025 00:21:00"|"ReadThroughput"|"0"|"0"|"485088"
"rds-ex"|"sqlserver-ex"|"08/31/2025 02:06:00"|"ReadThroughput"|"0"|"0"|"442108"
"rds-ex"|"sqlserver-ex"|"08/31/2025 01:31:00"|"ReadThroughput"|"0"|"0"|"474546"
"rds-ex"|"sqlserver-ex"|"08/31/2025 04:36:00"|"ReadThroughput"|"0"|"0"|"480274"
"rds-ex"|"sqlserver-ex"|"08/31/2025 05:11:00"|"ReadThroughput"|"0"|"0"|"440506"
"rds-ex"|"sqlserver-ex"|"08/31/2025 05:46:00"|"ReadThroughput"|"0"|"0"|"487219"
"rds-ex"|"sqlserver-ex"|"08/30/2025 15:36:00"|"ReadThroughput"|"0"|"0"|"364940"
"rds-ex"|"sqlserver-ex"|"08/30/2025 16:11:00"|"ReadThroughput"|"0"|"0"|"1245771"
"rds-ex"|"sqlserver-ex"|"08/30/2025 17:21:00"|"ReadThroughput"|"0"|"0"|"486010"
"rds-ex"|"sqlserver-ex"|"08/30/2025 16:46:00"|"ReadThroughput"|"0"|"0"|"614310"
"rds-ex"|"sqlserver-ex"|"08/30/2025 17:56:00"|"ReadThroughput"|"0"|"0"|"529266"
"rds-ex"|"sqlserver-ex"|"08/30/2025 18:31:00"|"ReadThroughput"|"0"|"0"|"633343"
"rds-ex"|"sqlserver-ex"|"08/30/2025 21:36:00"|"ReadThroughput"|"0"|"0"|"540668"
"rds-ex"|"sqlserver-ex"|"08/30/2025 22:46:00"|"ReadThroughput"|"0"|"0"|"571155"
"rds-ex"|"sqlserver-ex"|"08/30/2025 18:21:00"|"ReadThroughput"|"0"|"0"|"643470"
"rds-ex"|"sqlserver-ex"|"08/30/2025 19:31:00"|"ReadThroughput"|"0"|"0"|"540805"
"rds-ex"|"sqlserver-ex"|"08/30/2025 20:41:00"|"ReadThroughput"|"0"|"0"|"506158"
"rds-ex"|"sqlserver-ex"|"08/30/2025 23:56:00"|"ReadThroughput"|"0"|"0"|"637490"
"rds-ex"|"sqlserver-ex"|"08/31/2025 01:06:00"|"ReadThroughput"|"0"|"0"|"474954"
