"SQLInstance"|"Column1"|"db_name"|"file_type"|"file_name"|"io_mb"|"io_stall_s"|"io_stall_pct"|"rn"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"master"|"data"|"master"|"61.42"|"6.27"|"36.39"|"1"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"rdsadmin"|"data"|"rdsadmin"|"34.88"|"3.85"|"22.32"|"2"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"tempdb"|"data"|"tempdev"|"18.23"|"2.35"|"13.61"|"3"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"msdb"|"data"|"MSDBData"|"34.14"|"2.23"|"12.93"|"4"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"rdsadmin"|"log"|"rdsadmin_log"|"20.61"|"1.45"|"8.41"|"5"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"model"|"data"|"modeldev"|"13.58"|"0.39"|"2.25"|"6"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"msdb"|"log"|"MSDBLog"|"2.46"|"0.35"|"2.05"|"7"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"master"|"log"|"mastlog"|"0.69"|"0.14"|"0.80"|"8"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"model"|"log"|"modellog"|"1.30"|"0.14"|"0.78"|"9"
"EC2AMAZ-KU3O7DJ"|"8/31/2025 4:27:17 PM"|"tempdb"|"log"|"templog"|"1.39"|"0.08"|"0.47"|"10"
