"SQLInstance"|"Column1"|"db_name"|"file_type"|"file_name"|"io_mb"|"io_stall_s"|"io_stall_pct"|"rn"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"master"|"data"|"master"|"4711.53"|"436.80"|"66.92"|"1"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"rdsadmin"|"data"|"rdsadmin"|"1269.23"|"115.86"|"17.75"|"2"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"tempdb"|"data"|"tempdev"|"653.81"|"65.42"|"10.02"|"3"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"msdb"|"data"|"MSDBData"|"386.97"|"31.54"|"4.83"|"4"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"sampledb"|"data"|"sampledb"|"19.32"|"1.51"|"0.23"|"5"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"model"|"data"|"modeldev"|"26.15"|"0.92"|"0.14"|"6"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"master"|"log"|"mastlog"|"0.56"|"0.25"|"0.04"|"7"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"tempdb"|"log"|"templog"|"5.14"|"0.16"|"0.02"|"8"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"msdb"|"log"|"MSDBLog"|"0.68"|"0.14"|"0.02"|"9"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"model"|"log"|"modellog"|"1.10"|"0.08"|"0.01"|"10"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"rdsadmin"|"log"|"rdsadmin_log"|"1.14"|"0.05"|"0.01"|"11"
"EC2AMAZ-2A4D56D"|"8/31/2025 4:27:10 PM"|"sampledb"|"log"|"sampledb_log"|"1.10"|"0.04"|"0.01"|"12"
