"SQLInstance"|"dbName"|"partition_id"|"object_id"|"index_id"|"partition_number"|"hobt_id"|"rows"|"filestream_filegroup_id"|"data_compression"|"data_compression_desc"|"xml_compression"|"xml_compression_desc"
"EC2AMAZ-2A4D56D"|"sampledb"|"196608"|"3"|"1"|"1"|"196608"|"1241"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"327680"|"5"|"1"|"1"|"327680"|"163"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"458752"|"7"|"1"|"1"|"458752"|"193"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"524288"|"8"|"0"|"1"|"524288"|"2"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474977103872"|"6"|"1"|"1"|"281474977103872"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474977300480"|"9"|"1"|"1"|"281474977300480"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474977824768"|"17"|"1"|"1"|"281474977824768"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474977890304"|"18"|"1"|"1"|"281474977890304"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474977955840"|"19"|"1"|"1"|"281474977955840"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978021376"|"20"|"1"|"1"|"281474978021376"|"2"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978086912"|"21"|"1"|"1"|"281474978086912"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978152448"|"22"|"1"|"1"|"281474978152448"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978217984"|"23"|"1"|"1"|"281474978217984"|"1"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978283520"|"24"|"1"|"1"|"281474978283520"|"2"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978349056"|"25"|"1"|"1"|"281474978349056"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978480128"|"27"|"1"|"1"|"281474978480128"|"15"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978545664"|"28"|"1"|"1"|"281474978545664"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978611200"|"29"|"1"|"1"|"281474978611200"|"192"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474978938880"|"34"|"1"|"1"|"281474978938880"|"2561"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979004416"|"35"|"1"|"1"|"281474979004416"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979069952"|"36"|"1"|"1"|"281474979069952"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979135488"|"37"|"1"|"1"|"281474979135488"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979201024"|"38"|"1"|"1"|"281474979201024"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979332096"|"40"|"1"|"1"|"281474979332096"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979397632"|"41"|"1"|"1"|"281474979397632"|"1018"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979463168"|"42"|"1"|"1"|"281474979463168"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979528704"|"43"|"1"|"1"|"281474979528704"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979594240"|"44"|"1"|"1"|"281474979594240"|"1"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979659776"|"45"|"1"|"1"|"281474979659776"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979725312"|"46"|"1"|"1"|"281474979725312"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979790848"|"47"|"1"|"1"|"281474979790848"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979856384"|"48"|"1"|"1"|"281474979856384"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979921920"|"49"|"1"|"1"|"281474979921920"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474979987456"|"50"|"1"|"1"|"281474979987456"|"34"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980052992"|"51"|"1"|"1"|"281474980052992"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980249600"|"54"|"1"|"1"|"281474980249600"|"190"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980315136"|"55"|"1"|"1"|"281474980315136"|"394"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980380672"|"56"|"1"|"1"|"281474980380672"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980446208"|"57"|"1"|"1"|"281474980446208"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980511744"|"58"|"1"|"1"|"281474980511744"|"23"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980577280"|"59"|"1"|"1"|"281474980577280"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980642816"|"60"|"1"|"1"|"281474980642816"|"197"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980773888"|"62"|"1"|"1"|"281474980773888"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980839424"|"63"|"1"|"1"|"281474980839424"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980904960"|"64"|"1"|"1"|"281474980904960"|"18"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474980970496"|"65"|"1"|"1"|"281474980970496"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981101568"|"67"|"1"|"1"|"281474981101568"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981167104"|"68"|"1"|"1"|"281474981167104"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"281474981232640"|"69"|"1"|"1"|"281474981232640"|"1"|"0"|"0"|"NONE"|""|""
