"SQLInstance"|"object_name"|"counter_name"|"instance_name"|"cntr_value"|"cntr_type"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Memory broker clerk size                                                                                                        "|"Buffer Pool                                                                                                                     "|"2"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Simulation benefit                                                                                                              "|"Buffer Pool                                                                                                                     "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Simulation size                                                                                                                 "|"Buffer Pool                                                                                                                     "|"64"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Internal benefit                                                                                                                "|"Buffer Pool                                                                                                                     "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Periodic evictions (pages)                                                                                                      "|"Buffer Pool                                                                                                                     "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Pressure evictions (pages/sec)                                                                                                  "|"Buffer Pool                                                                                                                     "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Memory broker clerk size                                                                                                        "|"Column store object pool                                                                                                        "|"2"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Simulation benefit                                                                                                              "|"Column store object pool                                                                                                        "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Simulation size                                                                                                                 "|"Column store object pool                                                                                                        "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Internal benefit                                                                                                                "|"Column store object pool                                                                                                        "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Periodic evictions (pages)                                                                                                      "|"Column store object pool                                                                                                        "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Memory Broker Clerks                                                                                                  "|"Pressure evictions (pages/sec)                                                                                                  "|"Column store object pool                                                                                                        "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Buffer cache hit ratio                                                                                                          "|"                                                                                                                                "|"5628"|"537003264"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Buffer cache hit ratio base                                                                                                     "|"                                                                                                                                "|"6218"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Page lookups/sec                                                                                                                "|"                                                                                                                                "|"24092883"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Free list stalls/sec                                                                                                            "|"                                                                                                                                "|"143"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Database pages                                                                                                                  "|"                                                                                                                                "|"2"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Target pages                                                                                                                    "|"                                                                                                                                "|"131072"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Integral Controller Slope                                                                                                       "|"                                                                                                                                "|"126915"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Lazy writes/sec                                                                                                                 "|"                                                                                                                                "|"11539"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Readahead pages/sec                                                                                                             "|"                                                                                                                                "|"21620"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Readahead time/sec                                                                                                              "|"                                                                                                                                "|"424281"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Page reads/sec                                                                                                                  "|"                                                                                                                                "|"1626362"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Page writes/sec                                                                                                                 "|"                                                                                                                                "|"12947"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Checkpoint pages/sec                                                                                                            "|"                                                                                                                                "|"21"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Buffer Manager                                                                                                        "|"Background writer pages/sec                                                                                                     "|"                                                                                                                                "|"52"|"272696576"
